method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,dataset,order
ours_uniform,0,1,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2336,0.7559,0.1068,0.8321,15,5.0,mps,2.12.0,False,True,1,mps,e2_bitexact_20260817T045011Z,d59bd90d742b163634864f13f2875919cdcf8041,aaron-mac.local,scripts/cl_main.py --device mps --methods eq_pres ours_uniform --seeds 0 --budgets 1 --tag e2_bitexact_20260817T045011Z,can,main
ours_uniform,0,1,2,esca,1,0.9375,0.9333,0.2,0.062,-0.2642,0.7989,0.0959,0.8321,15,63.1,mps,2.12.0,False,True,1,mps,e2_bitexact_20260817T045011Z,d59bd90d742b163634864f13f2875919cdcf8041,aaron-mac.local,scripts/cl_main.py --device mps --methods eq_pres ours_uniform --seeds 0 --budgets 1 --tag e2_bitexact_20260817T045011Z,can,main
ours_uniform,0,1,2,lung,2,0.8558,0.8526,1.0,0.0,-0.0571,0.7372,0.1222,0.7707,95,63.7,mps,2.12.0,False,True,1,mps,e2_bitexact_20260817T045011Z,d59bd90d742b163634864f13f2875919cdcf8041,aaron-mac.local,scripts/cl_main.py --device mps --methods eq_pres ours_uniform --seeds 0 --budgets 1 --tag e2_bitexact_20260817T045011Z,can,main
ours_uniform,0,1,3,esca,1,0.9375,0.9333,0.1333,0.0741,-0.2643,0.7779,0.1058,0.8321,15,108.6,mps,2.12.0,False,True,1,mps,e2_bitexact_20260817T045011Z,d59bd90d742b163634864f13f2875919cdcf8041,aaron-mac.local,scripts/cl_main.py --device mps --methods eq_pres ours_uniform --seeds 0 --budgets 1 --tag e2_bitexact_20260817T045011Z,can,main
ours_uniform,0,1,3,lung,2,0.8354,0.8316,0.3684,0.0384,0.0053,0.7195,0.1275,0.7707,95,109.2,mps,2.12.0,False,True,1,mps,e2_bitexact_20260817T045011Z,d59bd90d742b163634864f13f2875919cdcf8041,aaron-mac.local,scripts/cl_main.py --device mps --methods eq_pres ours_uniform --seeds 0 --budgets 1 --tag e2_bitexact_20260817T045011Z,can,main
ours_uniform,0,1,3,rcc,3,0.9694,0.9605,1.0,-0.0,0.8669,0.8212,0.0704,0.8722,76,109.6,mps,2.12.0,False,True,1,mps,e2_bitexact_20260817T045011Z,d59bd90d742b163634864f13f2875919cdcf8041,aaron-mac.local,scripts/cl_main.py --device mps --methods eq_pres ours_uniform --seeds 0 --budgets 1 --tag e2_bitexact_20260817T045011Z,can,main
ours_uniform,0,1,4,esca,1,0.875,0.8667,0.0667,0.0771,-0.3578,0.7725,0.1039,0.8321,15,164.7,mps,2.12.0,False,True,1,mps,e2_bitexact_20260817T045011Z,d59bd90d742b163634864f13f2875919cdcf8041,aaron-mac.local,scripts/cl_main.py --device mps --methods eq_pres ours_uniform --seeds 0 --budgets 1 --tag e2_bitexact_20260817T045011Z,can,main
ours_uniform,0,1,4,lung,2,0.8265,0.8211,0.3158,0.0651,-0.0017,0.7225,0.1292,0.7707,95,165.3,mps,2.12.0,False,True,1,mps,e2_bitexact_20260817T045011Z,d59bd90d742b163634864f13f2875919cdcf8041,aaron-mac.local,scripts/cl_main.py --device mps --methods eq_pres ours_uniform --seeds 0 --budgets 1 --tag e2_bitexact_20260817T045011Z,can,main
ours_uniform,0,1,4,rcc,3,0.949,0.9342,0.3947,0.0294,0.7905,0.8205,0.0721,0.8722,76,165.8,mps,2.12.0,False,True,1,mps,e2_bitexact_20260817T045011Z,d59bd90d742b163634864f13f2875919cdcf8041,aaron-mac.local,scripts/cl_main.py --device mps --methods eq_pres ours_uniform --seeds 0 --budgets 1 --tag e2_bitexact_20260817T045011Z,can,main
ours_uniform,0,1,4,brca,4,0.8151,0.8925,1.0,0.0,0.2996,0.732,0.1021,0.6985,93,166.3,mps,2.12.0,False,True,1,mps,e2_bitexact_20260817T045011Z,d59bd90d742b163634864f13f2875919cdcf8041,aaron-mac.local,scripts/cl_main.py --device mps --methods eq_pres ours_uniform --seeds 0 --budgets 1 --tag e2_bitexact_20260817T045011Z,can,main
